# Table 1 of 2001ApJ...548..296W which gives size distribution parameters for different lines of sight and assumptions.

# R_V	10^5 b_C	b_C		Case	\alpha_g	\beta_g	a_{t,g} [m]	a_{c,g} [m]	C_g             \alpha_s	\beta_s	a_{t,s} [m]	a_{c,s} [m]	C_s
3.1	0.0	        0.0		A	-2.25		-0.0648	0.00000000745	0.000000606	9.94e-11	-1.48		-9.34	0.000000172	0.0000001	1.02e-12
3.1	1.0		0.00001		A	-2.17		-0.0382	0.00000000373	0.000000586	3.79e-10	-1.46		-10.3	0.000000174	0.0000001	1.09e-12
3.1	2.0		0.00002		A	-2.04		-0.111	0.00000000828	0.000000543	5.57e-11	-1.43		-11.7	0.000000173	0.0000001	1.27e-12
3.1	3.0		0.00003		A	-1.91		-0.125	0.00000000837	0.000000499	4.15e-11	-1.41		-11.5	0.000000171	0.0000001	1.33e-12
3.1	4.0		0.00004		A	-1.84		-0.132	0.00000000898	0.000000489	2.90e-11	-2.1		-0.114	0.000000169	0.0000001	1.26e-13
3.1	5.0		0.00005		A	-1.72		-0.322	0.0000000254	0.000000438	3.20e-12	-2.1		-0.0407	0.000000166	0.0000001	1.27e-13
3.1	6.0		0.00006		A	-1.54		-0.165	0.0000000107	0.000000428	9.99e-12	-2.21		0.3	0.000000164	0.0000001	1.0e-13
4.0	0.0		0.0		A	-2.26		-0.199	0.0000000241	0.000000861	5.47e-12	-2.03		0.668	0.000000189	0.0000001	5.2e-14
4.0	1.0		0.00001		A	-2.16		-0.0862	0.00000000867	0.000000803	4.58e-11	-2.05		0.832	0.000000188	0.0000001	4.81e-14
4.0	2.0		0.00002		A	-2.01		-0.0973	0.00000000811	0.000000696	3.96e-11	-2.06		0.995	0.000000185	0.0000001	4.7e-14
4.0	3.0		0.00003		A	-1.83		-0.175	0.0000000117	0.000000604	1.42e-11	-2.08		1.29	0.000000184	0.0000001	4.26e-14
4.0	4.0		0.00004		A	-1.64		-0.247	0.0000000152	0.000000536	5.83e-12	-2.09		1.58	0.000000183	0.0000001	3.94e-14
5.5	0.0		0.0		A	-2.35		-0.668	0.000000148	0.00000196	4.82e-14	-1.57		1.1	0.000000198	0.0000001	4.24e-14
5.5	1.0		0.00001		A	-2.12		-0.67	0.0000000686	0.00000135	3.65e-13	-1.57		1.25	0.000000197	0.0000001	4.00e-14
5.5	2.0		0.00002		A	-1.94		-0.853	0.0000000786	0.000000921	2.57e-13	-1.55		1.33	0.000000195	0.0000001	4.05e-14
5.5	3.0		0.00003		A	-1.61		-0.722	0.0000000418	0.00000072	7.58e-13	-1.59		2.12	0.000000193	0.0000001	3.2e-14
